1671492,"LEGO Transparent Dark Blue Plate 1 x 1 (3024 / 28554)",Part,"Transparent Dark Blue",322944-98,112330455,"Used (Good)",2,,0.051
1671492,"LEGO Yellow Minifigure Head with Black Moustache and Stubble (Safety Stud)",Part,Yellow,674493-93,111833839,"Used (Good)",3,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- Bite Mark  and Little faded on pattern&amp;lt;/div&amp;gt;",0.930
1671492,"LEGO Black Slope 1 x 2 x 3 (75°) Inverted (2449)",Part,Black,620383-38,110154447,"Used (Good)",1,,0.207
1671492,"LEGO White Cap with Blue EMT Star of Life logo with Long Flat Bill",Part,White,493701-92,104613209,"Used (Good)",1,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- scratches on pattern and Yellowing&amp;lt;/div&amp;gt;",0.430
1671492,"LEGO Black Ice Planet Chief Torso",Part,Black,213479-38,103467537,"Used (Good)",2,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- Little faded on pattern&amp;lt;/div&amp;gt;",0.720
1671492,"LEGO Black Minifigure Hips with Blue Legs (73200 / 88584)",Part,Black,851096-38,103265467,"Used (Good)",1,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- Little Bite Mark&amp;lt;/div&amp;gt;",0.230
1671492,"LEGO Yellow Ice Planet Chief Head (Safety Stud)",Part,Yellow,896205-93,102693849,"Used (Good)",1,"&amp;lt;div style=&#039;background-color:yellow; font-weight:bold; padding-left:1rem&#039;&amp;gt;--- Little Bite Marks and scratches&amp;lt;/div&amp;gt;",1.230
1671492,"LEGO Brown Brick 1 x 1 x 2 with Shutter Holder (3581)",Part,Brown,127894-46,101692743,"Used (Good)",2,,0.354
1671492,"LEGO Black Shoulder Length Hair with Center Parting (4530 / 96859)",Part,Black,458736-38,100934569,"Used (Good)",1,,0.330
1671492,"LEGO Black Small Tire Ø15 X 6mm with Offset Tread (without Band Around Center of Tread) (3641)",Part,Black,872603-38,95759731,"Used (Good)",9,,0.039
1671492,"LEGO Light Gray Bar 7.6L with Stop with Rounded End (2714)",Part,"Light Gray",590943-66,81544167,"Used (Good)",1,,0.390
1671492,"LEGO White Wheel Rim Ø8 x 6.4 without Side Notch (4624)",Part,White,247110-92,78787171,"Used (Good)",7,,0.017
1671492,"LEGO Black Hinge Bar 2 with 3 Stubs and Top Stud (2433)",Part,Black,241060-38,53551935,"Used (Good)",1,,0.050
1671492,"LEGO Transparent Neon Reddish Orange Dish 2 x 2 Inverted (4740 / 30063)",Part,"Transparent Neon Reddish Orange",739988-161,47329869,"Used (Good)",1,,0.039
1671492,"LEGO Transparent Dark Blue Cone 1 x 1 without Top Groove (4589 / 6188)",Part,"Transparent Dark Blue",954477-98,47327509,"Used (Good)",2,,0.025
1671492,"LEGO Yellow Minifig Goblet (2343 / 6269)",Part,Yellow,300678-93,47312427,"Used (Good)",2,,0.135
1671492,"LEGO Transparent Neon Reddish Orange Antenna 1 x 8 (2569 / 25699)",Part,"Transparent Neon Reddish Orange",760248-161,47312315,"Used (Good)",1,,0.189
4561311,"LEGO Black Brick 1 x 4 (3010)",Part,Black,752369-38,80284323,New,1,,0.120
4561311,"LEGO White Tile 2 x 2 with Groove (3068)",Part,White,462122-92,95935965,"Used (Good)",1,,0.112
4561311,"LEGO Red Tile 1 x 8 (4162)",Part,Red,221729-81,93856689,New,1,,0.112
4561311,"LEGO Black Walkie-Talkie (Extended Handle) (3962)",Part,Black,359886-38,96357393,"Used (Good)",1,,0.034
4561311,"LEGO Brown Minifig Tool Pushbroom (3836)",Part,Brown,812930-46,109665395,"Used (Good)",1,,0.094
4561311,"LEGO Black Brick 1 x 1 with Headlight and No Slot (4070)",Part,Black,475629-38,109665465,"Used (Good)",2,,0.064
4561311,"LEGO White Brick 1 x 8 (3008)",Part,White,273019-92,79910687,New,10,,0.312
4561311,"LEGO Green Torso with Green Vest with Pockets Over White Shirt",Part,Green,372454-61,110433335,"Used (Good)",1,,0.340
4561311,"LEGO Blue Minifig Torso Jacket with Tie",Part,Blue,369972-39,111850285,"Used (Good)",1,,0.723
